"date","code_post","level_w","snow_height","degree_coverage","tmean","post_9387"
"2008-01-01",9397,215,38,10,"-14.3",79
"2008-01-01",9388,287,38,10,"-14.3",79
"2008-01-01",9393,381,38,10,"-14.3",79
"2008-01-01",9389,215,38,10,"-14.3",79
"2008-01-01",9568,287,38,10,"-14.3",79
"2008-01-01",9560,324,38,10,"-14.3",79
"2008-01-01",9392,138,38,10,"-14.3",79
"2008-01-01",9386,138,38,10,"-14.3",79
"2008-01-01",9523,213,38,10,"-14.3",79
"2008-01-01",9390,314,38,10,"-14.3",79
"2008-01-01",9499,162,38,10,"-14.3",79
"2008-01-02",9388,288,38,10,"-21.1",79
"2008-01-02",9568,287,38,10,"-21.1",79
"2008-01-02",9397,215,38,10,"-21.1",79
"2008-01-02",9392,138,38,10,"-21.1",79
"2008-01-02",9499,167,38,10,"-21.1",79
"2008-01-02",9390,311,38,10,"-21.1",79
"2008-01-02",9386,138,38,10,"-21.1",79
"2008-01-02",9560,323,38,10,"-21.1",79
"2008-01-02",9389,215,38,10,"-21.1",79
"2008-01-02",9523,213,38,10,"-21.1",79
"2008-01-02",9393,381,38,10,"-21.1",79
"2008-01-03",9389,215,38,10,"-41.6",79
"2008-01-03",9397,214,38,10,"-41.6",79
"2008-01-03",9392,138,38,10,"-41.6",79
"2008-01-03",9390,309,38,10,"-41.6",79
"2008-01-03",9388,288,38,10,"-41.6",79
"2008-01-03",9386,138,38,10,"-41.6",79
"2008-01-03",9393,381,38,10,"-41.6",79
"2008-01-03",9499,165,38,10,"-41.6",79
"2008-01-03",9560,324,38,10,"-41.6",79
"2008-01-03",9568,286,38,10,"-41.6",79
"2008-01-03",9523,213,38,10,"-41.6",79
"2008-01-04",9388,288,38,10,"-44.2",79
"2008-01-04",9499,162,38,10,"-44.2",79
"2008-01-04",9393,381,38,10,"-44.2",79
"2008-01-04",9386,138,38,10,"-44.2",79
"2008-01-04",9568,286,38,10,"-44.2",79
"2008-01-04",9560,325,38,10,"-44.2",79
"2008-01-04",9390,307,38,10,"-44.2",79
"2008-01-04",9523,213,38,10,"-44.2",79
"2008-01-04",9397,214,38,10,"-44.2",79
"2008-01-04",9392,138,38,10,"-44.2",79
"2008-01-04",9389,215,38,10,"-44.2",79
"2008-01-05",9393,381,38,10,"-27.1",78
"2008-01-05",9388,287,38,10,"-27.1",78
"2008-01-05",9568,286,38,10,"-27.1",78
"2008-01-05",9390,306,38,10,"-27.1",78
"2008-01-05",9523,213,38,10,"-27.1",78
"2008-01-05",9397,213,38,10,"-27.1",78
"2008-01-05",9386,138,38,10,"-27.1",78
"2008-01-05",9560,326,38,10,"-27.1",78
"2008-01-05",9499,163,38,10,"-27.1",78
"2008-01-05",9389,215,38,10,"-27.1",78
"2008-01-05",9392,138,38,10,"-27.1",78
"2008-01-06",9392,138,37,10,"-24.5",78
"2008-01-06",9397,213,37,10,"-24.5",78
"2008-01-06",9568,286,37,10,"-24.5",78
"2008-01-06",9389,215,37,10,"-24.5",78
"2008-01-06",9560,327,37,10,"-24.5",78
"2008-01-06",9386,138,37,10,"-24.5",78
"2008-01-06",9523,210,37,10,"-24.5",78
"2008-01-06",9499,161,37,10,"-24.5",78
"2008-01-06",9393,381,37,10,"-24.5",78
"2008-01-06",9388,287,37,10,"-24.5",78
"2008-01-06",9390,305,37,10,"-24.5",78
"2008-01-07",9393,381,37,10,"-41.4",78
"2008-01-07",9397,213,37,10,"-41.4",78
"2008-01-07",9386,138,37,10,"-41.4",78
"2008-01-07",9560,327,37,10,"-41.4",78
"2008-01-07",9390,304,37,10,"-41.4",78
"2008-01-07",9388,288,37,10,"-41.4",78
"2008-01-07",9568,286,37,10,"-41.4",78
"2008-01-07",9523,208,37,10,"-41.4",78
"2008-01-07",9392,138,37,10,"-41.4",78
"2008-01-07",9499,160,37,10,"-41.4",78
"2008-01-07",9389,213,37,10,"-41.4",78
"2008-01-08",9568,285,37,10,"-33.8",77
"2008-01-08",9393,381,37,10,"-33.8",77
"2008-01-08",9390,303,37,10,"-33.8",77
"2008-01-08",9386,138,37,10,"-33.8",77
"2008-01-08",9499,161,37,10,"-33.8",77
"2008-01-08",9388,288,37,10,"-33.8",77
"2008-01-08",9397,212,37,10,"-33.8",77
"2008-01-08",9560,328,37,10,"-33.8",77
"2008-01-08",9389,213,37,10,"-33.8",77
"2008-01-08",9392,138,37,10,"-33.8",77
"2008-01-08",9523,207,37,10,"-33.8",77
"2008-01-09",9568,285,37,10,"-35.6",78
"2008-01-09",9560,327,37,10,"-35.6",78
"2008-01-09",9393,381,37,10,"-35.6",78
"2008-01-09",9390,302,37,10,"-35.6",78
"2008-01-09",9523,202,37,10,"-35.6",78
"2008-01-09",9389,213,37,10,"-35.6",78
"2008-01-09",9388,288,37,10,"-35.6",78
"2008-01-09",9499,160,37,10,"-35.6",78
"2008-01-09",9392,138,37,10,"-35.6",78
"2008-01-09",9397,212,37,10,"-35.6",78
"2008-01-09",9386,138,37,10,"-35.6",78
"2008-01-10",9388,288,37,10,"-45.6",78
"2008-01-10",9568,284,37,10,"-45.6",78
"2008-01-10",9523,199,37,10,"-45.6",78
"2008-01-10",9397,211,37,10,"-45.6",78
"2008-01-10",9499,159,37,10,"-45.6",78
"2008-01-10",9393,381,37,10,"-45.6",78
"2008-01-10",9389,213,37,10,"-45.6",78
"2008-01-10",9560,327,37,10,"-45.6",78
"2008-01-10",9386,138,37,10,"-45.6",78
"2008-01-10",9390,301,37,10,"-45.6",78
"2008-01-10",9392,138,37,10,"-45.6",78
"2008-01-11",9568,284,37,10,"-44.2",78
"2008-01-11",9392,138,37,10,"-44.2",78
"2008-01-11",9560,326,37,10,"-44.2",78
"2008-01-11",9397,211,37,10,"-44.2",78
"2008-01-11",9389,213,37,10,"-44.2",78
"2008-01-11",9499,159,37,10,"-44.2",78
"2008-01-11",9393,381,37,10,"-44.2",78
"2008-01-11",9386,138,37,10,"-44.2",78
"2008-01-11",9523,199,37,10,"-44.2",78
"2008-01-11",9388,287,37,10,"-44.2",78
"2008-01-11",9390,300,37,10,"-44.2",78
"2008-01-12",9499,159,37,10,"-41",78
"2008-01-12",9390,298,37,10,"-41",78
"2008-01-12",9393,381,37,10,"-41",78
"2008-01-12",9392,138,37,10,"-41",78
"2008-01-12",9389,213,37,10,"-41",78
"2008-01-12",9397,210,37,10,"-41",78
"2008-01-12",9568,284,37,10,"-41",78
"2008-01-12",9523,199,37,10,"-41",78
"2008-01-12",9388,286,37,10,"-41",78
"2008-01-12",9560,325,37,10,"-41",78
"2008-01-12",9386,138,37,10,"-41",78
"2008-01-13",9389,213,37,10,"-35.9",78
"2008-01-13",9499,158,37,10,"-35.9",78
"2008-01-13",9392,138,37,10,"-35.9",78
"2008-01-13",9386,138,37,10,"-35.9",78
"2008-01-13",9393,380,37,10,"-35.9",78
"2008-01-13",9560,325,37,10,"-35.9",78
"2008-01-13",9388,286,37,10,"-35.9",78
"2008-01-13",9390,297,37,10,"-35.9",78
"2008-01-13",9523,198,37,10,"-35.9",78
"2008-01-13",9568,283,37,10,"-35.9",78
"2008-01-13",9397,210,37,10,"-35.9",78
"2008-01-14",9397,209,37,10,"-35.1",79
"2008-01-14",9568,283,37,10,"-35.1",79
"2008-01-14",9390,295,37,10,"-35.1",79
"2008-01-14",9523,196,37,10,"-35.1",79
"2008-01-14",9386,138,37,10,"-35.1",79
"2008-01-14",9392,138,37,10,"-35.1",79
"2008-01-14",9499,158,37,10,"-35.1",79
"2008-01-14",9560,324,37,10,"-35.1",79
"2008-01-14",9388,286,37,10,"-35.1",79
"2008-01-14",9393,380,37,10,"-35.1",79
"2008-01-14",9389,212,37,10,"-35.1",79
"2008-01-15",9393,380,37,10,"-41.1",78
"2008-01-15",9392,138,37,10,"-41.1",78
"2008-01-15",9523,193,37,10,"-41.1",78
"2008-01-15",9389,212,37,10,"-41.1",78
"2008-01-15",9390,294,37,10,"-41.1",78
"2008-01-15",9568,283,37,10,"-41.1",78
"2008-01-15",9560,324,37,10,"-41.1",78
"2008-01-15",9386,138,37,10,"-41.1",78
"2008-01-15",9388,285,37,10,"-41.1",78
"2008-01-15",9397,209,37,10,"-41.1",78
"2008-01-15",9499,157,37,10,"-41.1",78
"2008-01-16",9389,211,37,10,"-41.9",78
"2008-01-16",9397,209,37,10,"-41.9",78
"2008-01-16",9568,282,37,10,"-41.9",78
"2008-01-16",9499,157,37,10,"-41.9",78
"2008-01-16",9390,293,37,10,"-41.9",78
"2008-01-16",9393,380,37,10,"-41.9",78
"2008-01-16",9388,284,37,10,"-41.9",78
"2008-01-16",9523,189,37,10,"-41.9",78
"2008-01-16",9392,138,37,10,"-41.9",78
"2008-01-16",9386,138,37,10,"-41.9",78
"2008-01-16",9560,323,37,10,"-41.9",78
"2008-01-17",9568,282,37,10,"-41.7",78
"2008-01-17",9560,323,37,10,"-41.7",78
"2008-01-17",9390,292,37,10,"-41.7",78
"2008-01-17",9393,380,37,10,"-41.7",78
"2008-01-17",9499,158,37,10,"-41.7",78
"2008-01-17",9388,283,37,10,"-41.7",78
"2008-01-17",9397,208,37,10,"-41.7",78
"2008-01-17",9389,211,37,10,"-41.7",78
"2008-01-17",9392,138,37,10,"-41.7",78
"2008-01-17",9386,138,37,10,"-41.7",78
"2008-01-17",9523,188,37,10,"-41.7",78
"2008-01-18",9568,282,37,10,"-38.3",78
"2008-01-18",9390,291,37,10,"-38.3",78
"2008-01-18",9397,208,37,10,"-38.3",78
"2008-01-18",9523,187,37,10,"-38.3",78
"2008-01-18",9499,159,37,10,"-38.3",78
"2008-01-18",9392,138,37,10,"-38.3",78
"2008-01-18",9389,211,37,10,"-38.3",78
"2008-01-18",9386,138,37,10,"-38.3",78
