"date","snow_height","degree_coverage","tmean","post_1","post_2","post_4","post_5","post_6","post_7","post_8","post_9","post_10","post_11","post_9387"
2008-01-01,38,10,-14.3,381,138,287,324,162,138,215,213,314,215,79
2008-01-02,38,10,-21.1,381,138,288,323,167,138,215,213,311,215,79
2008-01-03,38,10,-41.6,381,138,288,324,165,138,215,213,309,214,79
2008-01-04,38,10,-44.2,381,138,288,325,162,138,215,213,307,214,79
2008-01-05,38,10,-27.1,381,138,287,326,163,138,215,213,306,213,78
2008-01-06,37,10,-24.5,381,138,287,327,161,138,215,210,305,213,78
2008-01-07,37,10,-41.4,381,138,288,327,160,138,213,208,304,213,78
2008-01-08,37,10,-33.8,381,138,288,328,161,138,213,207,303,212,77
2008-01-09,37,10,-35.6,381,138,288,327,160,138,213,202,302,212,78
2008-01-10,37,10,-45.6,381,138,288,327,159,138,213,199,301,211,78
2008-01-11,37,10,-44.2,381,138,287,326,159,138,213,199,300,211,78
2008-01-12,37,10,-41.0,381,138,286,325,159,138,213,199,298,210,78
2008-01-13,37,10,-35.9,380,138,286,325,158,138,213,198,297,210,78
2008-01-14,37,10,-35.1,380,138,286,324,158,138,212,196,295,209,79
2008-01-15,37,10,-41.1,380,138,285,324,157,138,212,193,294,209,78
2008-01-16,37,10,-41.9,380,138,284,323,157,138,211,189,293,209,78
2008-01-17,37,10,-41.7,380,138,283,323,158,138,211,188,292,208,78
2008-01-18,37,10,-38.3,380,138,282,322,159,138,211,187,291,208,78
2008-01-19,37,10,-38.7,380,138,282,322,161,138,210,183,290,207,78
2008-01-20,37,10,-40.7,380,138,282,321,160,138,210,181,289,207,78
2008-01-21,37,10,-36.6,380,138,282,321,160,138,210,176,288,208,78
2008-01-22,37,10,-24.0,380,138,280,321,159,138,210,176,286,208,78
2008-01-23,38,10,-18.6,380,138,280,320,159,138,209,176,285,208,79
2008-01-24,38,10,-13.9,380,138,279,320,159,138,209,176,285,208,78
2008-01-25,38,10,-19.7,380,138,279,320,159,138,209,176,284,208,78
2008-01-26,38,10,-15.6,380,138,279,319,159,138,209,176,284,208,77
2008-01-27,40,10,-22.7,380,138,279,319,158,138,208,176,283,208,78
2008-01-28,39,10,-26.4,380,138,278,319,158,138,208,176,282,209,79
2008-01-29,39,10,-28.6,380,138,278,318,157,138,208,176,282,209,80
2008-01-30,39,10,-24.8,380,138,278,318,156,138,208,176,281,209,80
2008-01-31,40,10,-19.4,380,138,278,318,153,138,208,176,281,209,80
2008-02-01,40,10,-30.2,380,138,278,316,151,138,208,176,281,209,80
2008-02-02,41,10,-18.7,380,138,277,316,150,138,208,176,281,209,80
2008-02-03,41,10,-18.7,380,138,278,316,147,138,208,172,281,208,81
2008-02-04,41,10,-26.9,380,138,278,316,146,138,208,166,280,208,81
2008-02-05,41,10,-13.0,380,138,277,315,145,138,208,165,280,208,81
2008-02-06,41,10,-13.4,380,138,277,315,145,138,208,164,279,208,81
2008-02-07,41,10,-17.2,380,137,277,315,144,138,206,162,279,208,81
2008-02-08,41,10,-17.6,380,138,277,315,142,138,206,161,279,208,81
2008-02-09,42,10,-25.5,380,137,277,315,141,138,206,158,278,207,81
